Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
Atg1,ensheathing glial cell,0.38353878,0.8740769712779322,0.05845032167980414
Atg10,ensheathing glial cell,0.84480894,1.0,-0.0
Atg101,ensheathing glial cell,-0.6910946,1.0,-0.0
Atg12,ensheathing glial cell,-1.3697636,1.0,-0.0
Atg13,ensheathing glial cell,0.5230217,0.1511449709228074,0.8206062986139141
Atg14,ensheathing glial cell,0.067857265,1.0,-0.0
Atg16,ensheathing glial cell,-0.11212587,1.0,-0.0
Atg17,ensheathing glial cell,0.0437053,1.0,-0.0
Atg18a,ensheathing glial cell,0.5831861,1.0,-0.0
Atg18b,ensheathing glial cell,0.282789,0.4441526569664749,0.3524677355533822
Atg2,ensheathing glial cell,1.1766897,1.0,-0.0
Atg3,ensheathing glial cell,0.36982295,1.0,-0.0
Atg4a,ensheathing glial cell,0.42063653,1.0,-0.0
Atg4b,ensheathing glial cell,2.5221674,1.0,-0.0
Atg5,ensheathing glial cell,0.5727304,1.0,-0.0
Atg6,ensheathing glial cell,0.94647026,1.0,-0.0
Atg7,ensheathing glial cell,1.4037784,1.0,-0.0
Atg8a,ensheathing glial cell,0.40497455,0.11810726008914804,0.9277234053522372
Atg8b,ensheathing glial cell,0.0,1.0,-0.0
Atg9,ensheathing glial cell,-0.9007873,1.0,-0.0
Atox1,ensheathing glial cell,-0.17182572,1.0,-0.0
Atpalpha,ensheathing glial cell,-0.3977166,6.130968644617406e-41,40.21247090496304
AttA,ensheathing glial cell,3.424672,1.0,-0.0
AttB,ensheathing glial cell,1.0326155,1.0,-0.0
AttC,ensheathing glial cell,0.7375365,1.0,-0.0
AttD,ensheathing glial cell,19.161932,1.0,-0.0
Atu,ensheathing glial cell,-0.42909163,1.0,-0.0
Atx-1,ensheathing glial cell,0.0,1.0,-0.0
Atx2,ensheathing glial cell,0.28962567,0.6585374265334961,0.18141953782432158
Atxn7,ensheathing glial cell,-0.1964124,1.0,-0.0
Aven,ensheathing glial cell,-1.2993679,1.0,-0.0
Awh,ensheathing glial cell,0.6994452,1.0,-0.0
Axn,ensheathing glial cell,0.69600654,1.0,-0.0
Axs,ensheathing glial cell,1.2801536,0.03373621135302171,1.471903691185642
Axud1,ensheathing glial cell,-0.3214997,1.0,-0.0
B-H1,ensheathing glial cell,-0.25070992,1.0,-0.0
B-H2,ensheathing glial cell,-0.5703539,1.0,-0.0
B4,ensheathing glial cell,0.5519826,0.021372663613609347,1.6701413495904653
B52,ensheathing glial cell,0.35999823,0.10103723709014092,0.9955185382733094
B9d1,ensheathing glial cell,18.600622,1.0,-0.0
BBS1,ensheathing glial cell,0.0,1.0,-0.0
BBS4,ensheathing glial cell,-2.3676043,1.0,-0.0
BBS5,ensheathing glial cell,-0.67280024,1.0,-0.0
BBS8,ensheathing glial cell,0.0,1.0,-0.0
BBS9,ensheathing glial cell,0.29446867,1.0,-0.0
BCAS2,ensheathing glial cell,-1.6390822,1.0,-0.0
